amount,category,type
500,Food,expense
1200,Travel,expense
800,Shopping,expense
1500,Food,expense
10500,Salary,income
700,Travel,expense
950,Shopping,expense
1300,Food,expense
2200,Travel,expense
11000,Salary,income
600,Shopping,expense
1400,Food,expense
1800,Travel,expense
750,Shopping,expense
11500,Salary,income
900,Food,expense
2500,Travel,expense
1000,Shopping,expense
1600,Food,expense
12000,Salary,income
850,Travel,expense
700,Shopping,expense
1700,Food,expense
2100,Travel,expense
12500,Salary,income
650,Shopping,expense
1900,Food,expense
2300,Travel,expense
950,Shopping,expense
13000,Salary,income
1100,Food,expense
2000,Travel,expense
850,Shopping,expense
1750,Food,expense
13500,Salary,income
900,Travel,expense
1200,Shopping,expense
1450,Food,expense
2600,Travel,expense
14000,Salary,income
700,Shopping,expense
1800,Food,expense
2400,Travel,expense
1000,Shopping,expense
14500,Salary,income
950,Food,expense
2200,Travel,expense
1150,Shopping,expense
1650,Food,expense
15000,Salary,income
